Product ID,Product Name,Category 1,Category 2,Category 3,Category 4,Category 5,Discounted Price,Orignal Price,Discount,User Rating,Number Of Rating
B08D9NDZ1Y,"HP Deskjet 2331 Colour Printer, Scanner and Copier for Home/S",Computers&Accessories,"Printers,Inks&Accessories",Printers,,,"3,999","4,332.96",0.08,3.5,21762
B0085IATT6,D-Link DIR-615 Wi-fi Ethernet-N300 Single_band 300Mbps Router,Computers&Accessories,NetworkingDevices,Routers,,,899,"1,800",0.5,4.1,22375
B08WJ86PV2,RPM Euro Games Gaming Mousepad Speed Type Extended Large (Siz,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Keyboard&MiceAccessories,MousePads,299,990,0.7,4.5,2453
B078HRR1XV,Wacom One by CTL-472/K0-CX Digital Drawing Graphics Pen Table,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",GraphicTablets,,"3,303","4,699",0.3,4.4,13544
B09P22HXH6,Lenovo 300 FHD Webcam with Full Stereo Dual Built-in mics | F,Computers&Accessories,Accessories&Peripherals,Audio&VideoAccessories,Webcams&VoIPEquipment,Webcams,"1,890","5,490",0.66,4.1,10976
B00LM4X3XE,Parker Quink Ink Bottle (Black),OfficeProducts,OfficePaperProducts,Paper,Stationery,"Pens,Pencils&WritingSupplies",90,100,0.1,4.3,3061
B09YLFHFDW,Sony WI-C100 Wireless Headphones with Customizable Equalizer ,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,,"1,599","2,790",0.43,3.6,2272
B07YWS9SP9,"Zebronics, ZEB-NC3300 USB Powered Laptop Cooling Pad with Dua",Computers&Accessories,Accessories&Peripherals,LaptopAccessories,CoolingPads,,599,999,0.4,4,7601
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Computers&Accessories,NetworkingDevices,NetworkAdapters,WirelessUSBAdapters,,507,"1,208",0.58,4.1,8131
B08WLY8V9S,Tukzer Gel Mouse Pad Wrist Rest Memory-Foam Ergonomic Mousepa,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Keyboard&MiceAccessories,MousePads,425,899,0.53,4.5,4219
B0873L7J6X,"Infinity (JBL Glide 510, 72 Hrs Playtime with Quick Charge, W",Electronics,"Headphones,Earbuds&Accessories",Headphones,On-Ear,,"1,499","3,999",0.63,4.2,42775
B07YNHCW6N,Robustrion Smart Trifold Hard Back Flip Stand Case Cover for ,Computers&Accessories,Accessories&Peripherals,TabletAccessories,"Bags,Cases&Sleeves",Cases,549,"2,499",0.78,4.3,5556
B07232M876,Amazonbasics Micro Usb Fast Charging Cable For Android Smartp,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,199,395,0.5,4.2,92595
B01MQ2A86A,"Logitech M331 Silent Plus Wireless Mouse, 2.4GHz with USB Nan",Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Mice,,"1,295","1,645",0.21,4.6,12375
B00KIE28X0,"Camel Artist Acrylic Color Box - 9ml Tubes, 12 Shades",Home&Kitchen,CraftMaterials,PaintingMaterials,Paints,,310,310,0,4.5,5882
